make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
chevrolet 1500 silverado,2007,None,good,6 cylinders,rwd,gas,white,131500,None,clean,automatic,pickup,3800
chevey monte carlo,1999,None,excellent,6 cylinders,fwd,gas,red,160000,mid-size,clean,automatic,other,1300
nissan versa,2012,None,None,None,None,gas,grey,None,None,salvage,automatic,None,6774
honda odyssey,2006,None,excellent,None,None,gas,None,126000,None,clean,automatic,None,4500
jeep cherokee,1995,None,None,None,None,gas,None,236000,None,clean,automatic,None,1500
chevrolet suburban,1994,None,good,8 cylinders,None,gas,red,244150,full-size,clean,automatic,SUV,5500
Ford Mustang,1969,None,None,None,None,gas,None,None,None,clean,manual,None,50000
subaru outback 2.5,2007,None,excellent,4 cylinders,4wd,gas,green,98500,full-size,clean,manual,wagon,9850
Jeep YJ,1995,None,excellent,4 cylinders,4wd,gas,grey,21000,None,clean,manual,other,15000
Jeep YJ,1995,None,excellent,4 cylinders,4wd,gas,grey,21000,None,clean,manual,None,15000
Jeep YJ,1995,None,excellent,4 cylinders,4wd,gas,grey,21000,None,clean,manual,other,15000
chevy suburban 2500,1995,None,good,8 cylinders,4wd,gas,blue,None,full-size,clean,automatic,SUV,2200
Ford,1979,None,None,None,None,diesel,None,None,None,clean,other,None,5500
chevy suburban,1989,None,None,None,None,gas,None,None,None,clean,automatic,None,4500
chevy cheyenne,1989,None,good,8 cylinders,None,gas,white,92424,None,clean,manual,None,3500
Toyota Camry,1998,None,fair,4 cylinders,fwd,gas,brown,156,compact,clean,automatic,sedan,1900
Ford F500,1960,None,None,None,None,gas,None,None,None,clean,manual,None,2500
ford mustang,2005,None,good,6 cylinders,rwd,gas,silver,190000,None,clean,manual,None,3900
chevy cruze,2015,None,None,None,None,gas,None,67762,None,clean,automatic,None,12000
2006 Chrysler Town and Country,2006,None,excellent,6 cylinders,fwd,gas,silver,96000,full-size,clean,automatic,van,5995
Toyota Previa LE,1993,None,excellent,4 cylinders,None,gas,blue,228000,full-size,clean,automatic,van,2700
Buick Park Avenue,1993,None,excellent,6 cylinders,fwd,gas,black,165000,full-size,clean,automatic,sedan,2500
toyota camry le,2007,None,excellent,4 cylinders,fwd,gas,silver,None,full-size,rebuilt,automatic,sedan,6400
Honda accord,1995,None,good,4 cylinders,fwd,gas,green,176,None,clean,automatic,wagon,1950
Ford F-150,1996,None,None,None,None,gas,None,None,None,clean,manual,None,2400
Ford Bronco,1986,None,fair,None,None,gas,blue,None,None,clean,automatic,None,1100
bmw 328i,2007,Wbava33597pv64286,good,6 cylinders,rwd,gas,grey,6300000,mid-size,clean,automatic,sedan,9000
jeep grand cherokee,1996,None,None,None,None,gas,None,None,None,clean,automatic,None,800
Mercedes Benz,1992,None,None,None,None,gas,None,None,None,clean,automatic,None,500
nissan sentra,1997,None,None,None,None,gas,None,None,None,clean,manual,None,600
pontiac firebird,1969,None,good,8 cylinders,None,gas,silver,None,None,clean,other,coupe,9500
Altima,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,4000
Ford F-350,2002,None,good,8 cylinders,4wd,diesel,white,200000,full-size,lien,automatic,truck,7995
plymouth valiant,1961,None,None,None,None,gas,white,None,None,clean,manual,None,3500
nissan pathfinder,2005,5n1ar18w75c737559,good,6 cylinders,4wd,gas,silver,270000,mid-size,clean,automatic,SUV,4750
